date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2010-07-24,88,37,47,51,54,78,82,26,70,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-27,89,37,47,69,75,86,88,6,65,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-29,90,6,7,11,19,34,49,73,21,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-31,91,14,15,16,27,56,57,21,76,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-03,92,8,38,48,66,70,86,75,58,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-05,93,11,17,47,57,79,86,70,82,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-07,94,1,7,19,65,67,74,87,78,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-10,95,1,10,17,31,58,80,40,63,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-12,96,2,40,47,54,66,83,25,20,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-14,97,6,10,69,78,83,86,26,52,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-17,98,4,19,52,67,82,90,45,7,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-19,99,9,17,37,51,70,78,56,88,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-21,100,14,59,64,75,80,83,42,15,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-24,101,50,53,66,69,70,90,51,36,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-26,102,13,28,36,45,59,65,41,9,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-28,103,6,11,13,48,72,77,85,78,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-08-31,104,10,21,35,40,63,79,80,76,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-02,105,18,30,40,64,88,89,69,79,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-04,106,13,54,56,67,82,90,25,29,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-07,107,3,7,48,67,87,90,31,60,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-09,108,8,26,32,44,82,86,37,4,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-11,109,10,16,36,70,71,73,66,85,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-09-14,110,6,29,54,62,72,80,5,29,,,https://lottologia.com/superenalotto/estrazioni/2010
